sku,attribute_set_code,product_type,categories,manufacturer,name,price,description,base_image,small_image,thumbnail_image,additional_images
10212,Default,simple,Default Category/Túi ngủ,NATUREHIKE,Túi ngủ siêu nhẹ Naturehike Cotton Sleeping Bag LW180 NH21MSD09,529000,Dòng túi ngủ đơn LW180 được làm lại với một nền tảng chất liệu cao cấp hơn. Cảm giác sử dụng ấm áp và êm ái hơn với chất liệu hoàn thiện từ sợi Nylon – bông lót Cotton – lớp bên trong từ Pongee.,/10212-0.jpg,/10212-0.jpg,/10212-0.jpg,"/10212-2.jpg,/10212-3.jpg,/10212-4.jpg,/10212-5.jpg"
3286,Default,simple,Default Category/Túi ngủ,RYDER,Túi ngủ mùa đông 2 lớp Ryder 2 Layers Mummy Sleeping Bag D1005 Orange - 3286,1590000,"Túi ngủ mùa đông Ryder D1005 có thiết kế dáng con nhộng với lớp ngoài chống thấm và cách nhiệt tối đa, phần lõi bông giữ nhiệt rất tốt. Phù hợp sử dụng ở những nơi có nhiệt độ thấp.",/3286-0.jpg,/3286-0.jpg,/3286-0.jpg,"/3286-1.png,/3286-2.png"
7855,Default,simple,Default Category/Túi ngủ,,Túi ngủ nỉ Northpeak Sleeping Bag - 7855,399000,"Túi ngủ nỉ Northpeak Sleeping Bag - 7855 được làm từ chất liệu nỉ mềm mịn, giữ nhiệt tốt, trọng lượng nhẹ, đi kèm túi đựng có dây xách tiện lợi.",/7855-0.jpg,/7855-0.jpg,/7855-0.jpg,
7484,Default,simple,Default Category/Túi ngủ,RYDER,Túi ngủ mùa đông 2 lớp Ryder 2 Layers Mummy Sleeping Bag D1005 Blue - 7484,1590000,"Túi ngủ mùa đông Ryder D1005 có thiết kế dáng con nhộng với lớp ngoài chống thấm và cách nhiệt tối đa, phần lõi bông giữ nhiệt rất tốt.",/7484-0.jpg,/7484-0.jpg,/7484-0.jpg,"/7484-1.jpg,/7484-2.jpg,/7484-3.jpg"
10022,Default,simple,Default Category/Túi ngủ,NATUREHIKE,Túi ngủ mũ trùm Naturehike Cotton Sleepingbag NH21MSD07,725000,"Chất liệu êm ái và thiết kế 3 lớp thoải mái nhất khi sử dụng, thuận tiện khi vệ sinh bằng máy giặt.",/10022-0.jpg,/10022-0.jpg,/10022-0.jpg,"/10022-1.jpg,/10022-2.jpg,/10022-3.jpg,/10022-4.jpg,/10022-5.jpg"
9774,Default,simple,Default Category/Túi ngủ,NATUREHIKE,Túi ngủ Naturehike Envelope Washable NH20MSD02,645000,"Túi ngủ Naturehike Envelope Washable NH20MSD02 chất liệu êm ái và thiết kế 3 lớp thoải mái nhất khi sử dụng, thuận tiện khi vệ sinh bằng máy giặt.",/9774-0.jpg,/9774-0.jpg,/9774-0.jpg,"/9774-1.jpg,/9774-2.jpg,/9774-3.jpg,/9774-4.jpg"
1210,Default,simple,Default Category/Túi ngủ,RYDER,Túi ngủ mùa đông 2 lớp Ryder 2 Layers Mummy Sleeping Bag D1006 - 1210,1690000,"Túi ngủ mùa đông Ryder là loại túi ngủ đông dáng con nhộng với lớp ngoài chống thấm và cách nhiệt tối đa, phần lõi bông giữ nhiệt rất tốt. Thiết kế rất kín nhưng vẫn có độ thông thoáng, phù hợp sử dụng ở những nơi có nhiệt độ thấp.",/1210-0.jpg,/1210-0.jpg,/1210-0.jpg,"/1210-1.jpg,/1210-2.jpg"
1986,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Bình nước 800ml Ryder Polycarbonate Bottle N0004 - 1986,160000,Bình nước giữ nhiệt Ryder 800ml được làm từ nhựa polycarbonate đảm bảo vệ sinh và an toàn cho người sử dụng. Rất tiện dụng cho hoạt động ngoài trời và những hoạt động hàng ngày.,/1986-0.jpg,/1986-0.jpg,/1986-0.jpg,"/1986-1.jpg,/1986-2.jpg"
1987,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Bình nước 850ml Ryder Polycarbonate Bottle N0003 - 1987,230000,Bình nước 850ml Ryder Polycarbonate Bottle N0003 - 1987 được làm từ nhựa polycarbonate đảm bảo vệ sinh và an toàn cho người sử dụng. Rất tiện dụng cho hoạt động ngoài trời và những hoạt động hàng ngày.,/1987-0.jpg,/1987-0.jpg,/1987-0.jpg,
1220,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Can nước gấp gọn 15L Ryder PE Folding Water Carrier C4006 - 1220,995000,"Túi nước dã ngoại RyDer 15L C4006 là túi được thiết kế các nếp gấp, giúp bạn có thể gấp gọn túi sau khi sử dụng. Nắp bình được thiết kế gắn với vòi để tiện sử dụng. Bạn thoải mái mang nước để sử dụng cho chuyến đi của mình.",/1220-0.jpg,/1220-0.jpg,/1220-0.jpg,
1214,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Can nước gấp gọn 20L Ryder PE Folding Water Carrier C4007 - 1214,225000,"Túi nước RyDer 20L C4007 được thiết kế hình hộp gấp, giúp bạn có thể gấp gọn túi sau khi sử dụng. Túi được thiết kế vòi nước ở ngay nắp túi, bạn dễ dàng sử dụng nước trong bình mà không cần dùng sức đổ.",/1214-0.jpg,/1214-0.jpg,/1214-0.jpg,"/1214-1.jpg,/1214-2.jpg"
6679,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Xô gấp siêu nhẹ 10L Ryder 500D PVC Folding Bucket C4001 - 6679,219000,"Xô gấp siêu nhẹ 10L Ryder 500D PVC Folding Bucket C4001 - 6679 là sản phẩm đựng nước dung tích lớn, siêu nhẹ có khả năng gấp lại gọn gàng.",/6679-0.jpg,/6679-0.jpg,/6679-0.jpg,"/6679-1.jpg,/6679-2.jpg,/6679-3.jpg,/6679-4.jpg,/6679-5.jpg"
1985,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Bình nước 500ml Ryder Polycarbonate Bottle N0001 - 1985,7200090000,"Bình nước 500ml Ryder Polycarbonate Bottle N0001 - 1985 được làm từ nhựa polycarbonate, đảm bảo vệ sinh và an toàn cho người sử dụng, rất tiện dụng cho hoạt động ngoài trời và những hoạt động hàng ngày.",/1985-0.jpg,/1985-0.jpg,/1985-0.jpg,"/1985-1.jpg,/1985-2.jpg"
1213,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Can nước gấp gọn 10L Ryder PE Folding Water Carrier C4009 - 1213,92500185000,"Túi nước dã ngoại RyDer 10L C4009 là túi được thiết kế các nếp gấp, giúp bạn có thể gấp gọn túi sau khi sử dụng. Bạn thoải mái mang nước để sử dụng cho chuyến đi của mình và tiện dụng gấp gọn, cất giữ khi không dùng nữa.",/1213-0.jpg,/1213-0.jpg,/1213-0.jpg,"/1213-1.jpg,/1213-2.jpg"
1983,Default,simple,Default Category/Đựng nước - Lọc nước,RYDER,Vỏ cao su giữ nhiệt bình nước 600ml Ryder Water Bottle Insulated Cover N2001 - 1983,3920049000,"Vỏ cao su giữ nhiệt bình nước 600ml Ryder Water Bottle Insulated Cover N2001 - 1983 được làm từ nhựa cao cấp, chống trầy, chống bám bẩn và bền màu. Thiết kế 2 lớp và nắp xoay kín giúp giữ nhiệt các loại đồ uống của bạn lâu hơn khi đi cắm trại dã ngoại.",/1983-0.jpg,/1983-0.jpg,/1983-0.jpg,"/1983-1.jpg,/1983-2.jpg"
9772,Default,simple,Default Category/Đựng nước - Lọc nước,NATUREHIKE,Cốc siêu nhẹ Naturehike Lightweight Durable Titanium NH20CJ005,429000,"Cốc siêu nhẹ Naturehike Lightweight Durable Titanium NH20CJ005 với chất liệu titanium siêu bền là phụ kiện thích hợp trong hành trang cho những chuyến du lịch, dã ngoại",/9772-0.jpg,/9772-0.jpg,/9772-0.jpg,"/9772-1.jpg,/9772-2.jpg,/9772-3.jpg,/9772-4.jpg,/9772-5.jpg,/9772-6.jpg"
10804-1,Default,simple,Default Category/Đựng nước - Lọc nước,HYDRO FLASK,Bình nước giữ nhiệt 946ml Hydro Flask Wide Flex Cap 32 OZ W32BTS,1480000,"Bình nước giữ nhiệt 946ml Hydro Flask Wide Flex Cap 32 OZ W32BTS với nắp Flex Sip™ giữ nước nóng đến 12 giờ và lạnh đến 24 giờ. Chất liệu thép không gỉ 18/8 bền bỉ, miệng rộng cho đá viên dễ dàng, lớp phủ Color Last™ chống đọng hơi nước.",/10804-1-0.jpg,/10804-1-0.jpg,/10804-1-0.jpg,"/10804-1-2.jpg,/10804-1-3.jpg,/10804-1-4.jpg,/10804-1-5.jpg,/10804-1-6.jpg,/10804-1-7.jpg"
7692,Default,simple,Default Category/Balo - Túi,MADE IN VIETNAM,Áo mưa balo 30 - 50L Raincover - 7692,80000,"Áo mưa balo 30 - 50L Raincover - 7692  được làm từ chất liệu 100% Polyester chống nước rất tốt, bề mặt nhẵn bóng khó bám bẩn và dễ dàng làm sạch. Phù hợp sử dụng cho Balo leo núi có thể tích từ 30-50L. Đây là phụ kiện không thể thiếu cho chiếc balo của bạn.",/7692-0.jpg,/7692-0.jpg,/7692-0.jpg,
6698,Default,simple,Default Category/Balo - Túi,RYDER,Áo mưa balo 20-30L Ryder Rucksack Raincover S F1001 - 6698,143200179000,Áo mưa balo 20-30L Ryder Rucksack Raincover S F1001 - 6698 là trang bị không thể thiếu dành cho những người đam mê du lịch khi tới những nơi có khí hậu mưa và ẩm ướt.,/6698-0.jpg,/6698-0.jpg,/6698-0.jpg,"/6698-1.jpg,/6698-2.jpg,/6698-3.jpg,/6698-4.jpg"
6699,Default,simple,Default Category/Balo - Túi,RYDER,Áo mưa balo 30-50L Ryder Rucksack Raincover M F1002 - 6699,159200199000,Áo mưa balo 30-50L Ryder Rucksack Raincover M F1002 - 6699 là trang bị không thể thiếu dành cho những người đam mê du lịch khi tới những nơi có khí hậu mưa và ẩm ướt.,/6699-0.jpg,/6699-0.jpg,/6699-0.jpg,/6699-1.jpg
10045-1,Default,simple,Default Category/Balo - Túi,NATUREHIKE,Balo gấp gọn 22L Naturehike Foldtable Outdoor NH17A017,355000,"Đẹp và tiện lợi khi sử dụng, có khả năng chống thấm nước tốt, phù hợp sử dụng đi cắm trại qua đêm, dã ngoại ngoài trời, du lịch",/10045-1-0.jpg,/10045-1-0.jpg,/10045-1-0.jpg,"/10045-1-1.jpg,/10045-1-2.jpg,/10045-1-3.jpg,/10045-1-4.jpg,/10045-1-5.jpg,/10045-1-6.jpg"
10662-1,Default,simple,Default Category/Balo - Túi,SENTERLAN,Balo leo núi 25L Senterlan Speed Air S8358,855000,"Balo leo núi 25L Senterlan Speed Air S8358 được làm từ 100% polyester bền, nhẹ, chống chầy xước, thiết kế gọn nhẹ, chắc chắn là một trang bị du lịch hoàn hảo cho các chuyến đi leo núi, cắm trại dã ngoại.",/10662-1-0.jpg,/10662-1-0.jpg,/10662-1-0.jpg,"/10662-1-1.jpg,/10662-1-2.jpg,/10662-1-3.jpg,/10662-1-4.jpg"
6690,Default,simple,Default Category/Balo - Túi,RYDER,Ba lô leo núi 70+10L Ryder Backpack F0003 - 6690,19995003999000,"Ba lô leo núi 70+10L Ryder Backpack F0003 - 6690 làm từ chất liệu vải nylon độ bền cao, khung trợ lực tránh mỏi lưng, phù hợp leo núi, dã ngoại.",/6690-0.jpg,/6690-0.jpg,/6690-0.jpg,"/6690-1.jpg,/6690-2.jpg,/6690-3.jpg,/6690-4.jpg,/6690-5.jpg,/6690-6.jpg,/6690-7.jpg,/6690-8.jpg"
9256,Default,simple,Default Category/Balo - Túi,SENTERLAN,Balo leo núi Senterlan Adventure 40L S2467,1495000,"Balo leo núi Senterlan Adventure 40L S2467 chất liệu vải Polyester chống thấm tốt, khung trợ lực không gây đau mỏi lưng, thích hợp đi leo núi, dã ngoại.",/9256-0.jpg,/9256-0.jpg,/9256-0.jpg,"/9256-1.jpg,/9256-2.jpg"
10660-1,Default,simple,Default Category/Balo - Túi,SENTERLAN,Balo leo núi 35L Senterlan Adventure S2908,1495000,"Balo leo núi 35L Senterlan Adventure S2908 được thiết kế chắc chắn cùng các ngăn chứa lớn, Với chất liệu từ vải Polyester bền bỉ, vai đeo có miếng đệm thấm mồ hôi, giúp bạn sử dụng thoải mái trong thời gian dài. Phù hợp với các hoạt động du lịch, leo núi.",/10660-1-0.jpg,/10660-1-0.jpg,/10660-1-0.jpg,"/10660-1-1.jpg,/10660-1-2.jpg,/10660-1-3.jpg,/10660-1-4.jpg"
8457,Default,simple,Default Category/Balo - Túi,SENTERLAN,Balo du lịch gấp gọn 20L Senterlan S2212,465000,"Balo du lịch gấp gọn 20L Senterlan S2212 Được thiết kế với phong cách đơn giản, trẻ trung cá tính cùng khả năng gấp gọn lại khi không sử dụng, thuận lợi cất trữ cũng di chuyển sẽ là vật dụng tiện ích trong mỗi chuyến đi du lịch da ngoại.",/8457-0.jpg,/8457-0.jpg,/8457-0.jpg,
6691,Default,simple,Default Category/Balo - Túi,RYDER,Balo leo núi 65+10L Ryder Backpack F0002 - 6691,2199000,"Chất liệu vải nylon độ bền cao, khung trợ lực tránh mỏi lưng, phù hợp leo núi, dã ngoại.",/6691-0.jpg,/6691-0.jpg,/6691-0.jpg,
10040-1,Default,simple,Default Category/Gậy leo núi,NATUREHIKE,Gậy leo núi Naturehike Trekking Pole NH17D001-Z,215000,"Sử dụng gậy leo núi sẽ làm giảm trọng lực dồn vào bàn chân, chân, đầu gối và lưng bằng cách chia đều áp lực ra toàn bộ cơ thể đặc biệt là khi các bạn mang vác nặng trên lưng.",/10040-1-0.jpg,/10040-1-0.jpg,/10040-1-0.jpg,"/10040-1-1.jpg,/10040-1-2.jpg,/10040-1-3.jpg,/10040-1-4.jpg"
10509-1,Default,simple,Default Category/Gậy leo núi,GOODFIT,Gậy leo núi Goodfit GF03E,249000,"Gậy leo núi là một phụ kiện outdoor hữu dụng giúp chuyến đi du lịch, leo núi, cắm trại trở nên dễ dàng hơn và giảm thiểu các chấn thương không đáng có. Gậy leo núi được làm từ hợp kim nhôm rất nhẹ và cứng, hệ thống chống sốc an toàn cùng các đầu bám chống lún, chống trơn trượt.",/10509-1-0.jpg,/10509-1-0.jpg,/10509-1-0.jpg,"/10509-1-1.jpg,/10509-1-2.jpg,/10509-1-3.jpg"
10101,Default,simple,Default Category/Gậy leo núi,MADE IN VIETNAM,Gậy leo núi chống sốc AN anti Shock Cleye,265000,"Gậy leo núi trợ lực cực tốt đảm bảo sự an toàn và vững chãi cho từng bước trekking của bạn. Phù hợp trong các hoạt động ngoài trời, leo núi, đi bộ",/10101-0.jpg,/10101-0.jpg,/10101-0.jpg,"/10101-1.jpg,/10101-2.jpg,/10101-3.jpg,/10101-4.jpg,/10101-5.jpg,/10101-6.jpg"
1489,Default,simple,Default Category/Gậy leo núi,RYDER,Gậy leo núi 3 khúc Ryder Straight-Bar Hiking Pole G0122 - 1489,285000,"Gậy leo núi Ryder G0122 chính hãng, với hệ thống lò xo chống sốc bên trong gậy. Gậy leo núi trợ lực cực tốt đảm bảo sự an toàn và vững chãi cho từng bước trekking của bạn. Phù hợp trong các hoạt động ngoài trời, leo núi, đi bộ...",/1489-0.jpg,/1489-0.jpg,/1489-0.jpg,"/1489-1.jpg,/1489-2.jpg,/1489-3.jpg,/1489-4.jpg,/1489-5.jpg"
3293,Default,simple,Default Category/Gậy leo núi,RYDER,Gậy leo núi chống sốc Ryder Straight-Bar Hiking Pole G0001 - 3293,440000,"Gậy leo núi Ryder là một phụ kiện outdoor hữu dụng giúp chuyến đi du lịch, leo núi, cắm trại trở nên dễ dàng hơn và giảm thiểu các chấn thương không đáng có.",/3293-0.jpg,/3293-0.jpg,/3293-0.jpg,"/3293-1.jpg,/3293-2.jpg,/3293-3.jpg,/3293-4.jpg,/3293-5.jpg"
11000,Default,simple,Default Category/Gậy leo núi,CAMEL CROWN,Gậy leo núi Camel Straight Hiking Poles 2SA7D41-1,255000300000,"Gậy leo núi Camel Straight Hiking Poles 2SA7D41-1 chính hãng, thiết kế công thái học, khóa Hard Lock chắc chắn, điều chỉnh linh hoạt, giảm xóc tốt. Đồng hành an toàn trên mọi địa hình. Mua ngay!",/11000-0.jpg,/11000-0.jpg,/11000-0.jpg,"/11000-1.jpg,/11000-2.jpg,/11000-3.jpg,/11000-4.jpg,/11000-5.jpg,/11000-6.jpg"
6701,Default,simple,Default Category/Gậy leo núi,Khác,Đầu chụp gậy leo núi thay thế Ryder Trekking Pole Spare Basket G1001 - 6701,19000,Đầu chụp gậy leo núi thay thế Ryder Trekking Pole Spare Basket G1001 - 6701 là phụ kiện thay thế cho đầu gậy cũ bị hỏng hóc hay mài mòn nhiều.,/6701-0.jpg,/6701-0.jpg,/6701-0.jpg,
6702,Default,simple,Default Category/Gậy leo núi,Khác,Đầu chụp gậy leo núi thay thế Ryder Trekking Pole Spare Basket G1002 - 6702,29000,Đầu chụp gậy leo núi thay thế Ryder Trekking Pole Spare Basket G1002 - 6702 là phụ kiện thay thế cho đầu gậy cũ bị hỏng hóc hay mài mòn nhiều.,/6702-0.jpg,/6702-0.jpg,/6702-0.jpg,
1896,Default,simple,Default Category/Gậy leo núi,COLEMAN,Gậy đi rừng Coleman 802-251T,599000,"Gậy đi rừng Coleman 802-251T có hệ thống lò xo chống sốc giúp giảm trọng lực lên vai, lưng, đầu gối. Gậy đi rừng giúp chuyến đi leo núi, đi rừng, đi bộ dã ngoại trở nên dễ dàng và an toàn hơn rất nhiều.",/1896-0.jpg,/1896-0.jpg,/1896-0.jpg,
10886,Default,simple,Default Category/Gậy leo núi,COLEMAN,Gậy leo núi Coleman Treking Pole Survival 2000016535,599000,"Gậy leo núi Coleman Treking Pole Survival 2000016535 có hệ thống lò xo chống sốc giúp giảm trọng lực lên vai, lưng, đầu gối, giúp chuyến đi trở nên dễ dàng và an toàn hơn rất nhiều.",/10886-0.jpg,/10886-0.jpg,/10886-0.jpg,"/10886-1.jpg,/10886-3.jpg"
3705,Default,simple,Default Category/Dao - Dụng cụ đa năng,COLEMAN,Rìu Coleman 2000003368,539000,"Rìu Coleman 2000003368 chính hãng, giá tốt nhất tại WETREK.VN. WeTrek tự hào là nhà phân phối sản phẩm Coleman chính hãng tại Việt Nam. Hotline 02873051988.",/3705-0.jpg,/3705-0.jpg,/3705-0.jpg,
3706,Default,simple,Default Category/Dao - Dụng cụ đa năng,COLEMAN,Xẻng gập Coleman 2000003458,539000,"Xẻng gập Coleman 2000003458 chính hãng, giá tốt nhất tại WETREK.VN. WeTrek tự hào là nhà phân phối sản phẩm Coleman chính hãng tại Việt Nam. Hotline 02873051988.",/3706-0.jpg,/3706-0.jpg,/3706-0.jpg,
9131,Default,simple,Default Category/Dao - Dụng cụ đa năng,Khác,Cờ lê đa năng Strong TVL L - 9131,395000,"Chất liệu từ thép không gỉ và bao gồm nhiều chức năng đa dụng như: cờ lê, tua vít, dao, búa,...",/9131-1.jpg,/9131-1.jpg,/9131-1.jpg,"/9131-2.jpg,/9131-3.jpg"
8276,Default,simple,Default Category/Dao - Dụng cụ đa năng,NITE IZE,Dụng cụ đa năng NITE IZE DoohicKey SkullKey Tool KMTSK-11-R3 - 8276,336000,"Thiết kế theo hình dáng của một chiếc chìa khóa đi kèm nhiều công cụ hỗ trợ đơn giản, dễ dàng gắn vào móc khóa và mang theo mình đễ sử dụng trong tình huống cần thiết.",/8276-0.jpg,/8276-0.jpg,/8276-0.jpg,"/8276-1.jpg,/8276-2.jpg,/8276-3.jpg,/8276-4.jpg,/8276-5.jpg,/8276-6.jpg,/8276-7.jpg,/8276-8.jpg"
10006,Default,simple,Default Category/Dao - Dụng cụ đa năng,OPINEL,Dao gấp bỏ túi Opinel No.10 Carbon Steel,748000,"Với lưỡi dao sắc bén, thiết kế cong cực kỳ tiện cho việc cắt, gọt. Bạn đồng hành lý tưởng dành cho bạn trong các buổi cắm trại, dã ngoại, leo núi, câu cá...",/10006-0.jpg,/10006-0.jpg,/10006-0.jpg,"/10006-1.jpg,/10006-2.jpg,/10006-3.jpg,/10006-4.jpg,/10006-5.jpg"
4822,Default,simple,Default Category/Dao - Dụng cụ đa năng,Khác,Dụng cụ đa năng mini OUTDOOR-EDC Hippocampus - 4822,60000,"Dụng cụ đa năng mini OUTDOOR-EDC Hippocampus - 4822 chính hãng, đa chức năng, giá tốt chỉ có tại WETREK.VN. Giao hàng toàn quốc. LH 0912062264",/4822-0.jpg,/4822-0.jpg,/4822-0.jpg,/4822-1.jpg
1565,Default,simple,Default Category/Dao - Dụng cụ đa năng,VICTORINOX,HUY HIỆU VICTORINOX Button - Pin Black 4.1888,98000,"HUY HIỆU VICTORINOX Button - Pin Red 4.1888 được làm từ thép không rỉ, sơn tĩnh điện và có hai màu sắc Đỏ và Đen.",/1565-0.png,/1565-0.png,/1565-0.png,/1565-1.png
1919,Default,simple,Default Category/Dao - Dụng cụ đa năng,VICTORINOX,DAO DÃ NGOẠI VICTORINOX Outdoor knife 4.2253,5980000,"DAO DÃ NGOẠI VICTORINOX Outdoor knife 4.2253 có lưỡi dao dài 12cm bằng thép không gỉ. cán dao làm bằng gỗ oliu, có bao da đi kèm.",/1919-0.jpg,/1919-0.jpg,/1919-0.jpg,
3070,Default,simple,Default Category/Dao - Dụng cụ đa năng,VICTORINOX,Thẻ đa năng VICTORINOX Swisscard LITE SAPPHIRE 0.7322.T2,1590000,"Gồm 11 tools : Dũa móng tay, Tuốc nơ vít 2 cạnh, Bút bi, Lưỡi dao, Kéo nhỏ, Đèn pin LED, Nhíp nhỏ, Tuốc nơ vít 4 cạnh, Thước kẻ cm/inch, Đinh gim không gỉ, Kính lúp.",/3070-0.jpg,/3070-0.jpg,/3070-0.jpg,"/3070-1.jpg,/3070-2.jpg"
9546,Default,simple,Default Category/Dao - Dụng cụ đa năng,NATUREHIKE,Búa đóng cọc lều Naturehike Alu Hammer NH15A010 - 9546,240000,"Búa đóng và nhổ cọc lều đa năng Naturehike Aluminium Camping Hammer NH15A010-I - 9546 với thiết kế cơ động, đa năng hữu ích trong những buổi cắm trại, giúp thao tác dựng và dỡ lều trở lên nhanh chóng, đỡ tốn sức cho người sử dụng.",/9546-0.jpg,/9546-0.jpg,/9546-0.jpg,"/9546-1.jpg,/9546-2.jpg,/9546-3.jpg"
7846,Default,simple,Default Category/Đồ điện tử,,Pin sạc thay thế đèn pin siêu sáng - 7846,30000,"Pin sạc thay thế đèn pin siêu sáng - 7846 tiện lợi, linh hoạt, thời gian sử dụng dài, sẵn sàng đồng hành cùng bạn trên mọi chuyến đi.",/7846-0.jpg,/7846-0.jpg,/7846-0.jpg,/7846-1.jpg
3381,Default,simple,Default Category/Đồ điện tử,GOPRO,Pin máy quay GoPro HERO4 Rechargeable Battery AHDBT-401 - 3381,391000782000,Pin máy quay GoPro HERO4 Rechargeable Battery có dung lượng 1160mAh và dùng như một phụ kiện dự phòng cho máy quay GoPro HERO4. Pin có thể sạc lại.,/3381-0.jpg,/3381-0.jpg,/3381-0.jpg,"/3381-1.jpg,/3381-2.jpg,/3381-3.jpg,/3381-4.jpg"
7777,Default,simple,Default Category/Đồ điện tử,GOPRO,Giá gắn trước mũ bảo hiểm GoPro Helmet Front Mount,229000458000,"Giá gắn trước mũ bảo hiểm GoPro Helmet Front Mount giúp người dùng gắn máy quay GoPro Hero3+ vào phía trước của hầu hết tất cả các loại ,ặt phẳng nhằm đưa tới người sử dụng sự tiện ích nhất có thể với một thiết kế gọn gàng và chắc chắn. Giá gắn trước mũ b",/7777-0.png,/7777-0.png,/7777-0.png,"/7777-1.jpg,/7777-2.jpg,/7777-3.png,/7777-4.jpg"
8265,Default,simple,Default Category/Đồ điện tử,GOAL ZERO,Pin sạc dự phòng kèm đèn chiếu sáng Goal Zero Venture 70 Power Bank  22013 - 8265,19055003811000,"Pin sạc dự phòng kèm đèn chiếu sáng Goal Zero Venture 70 Power Bank  22013 - 8265 với dung lượng 17,700 mAh bao gồm đèn chiếu sáng và dây cáp USB hỗ trợ sạc đầy pin cho máy tính bảng hay bất cứ thiết bị nào trên những chặng đường dài, hay nhưng chuyến đi mạo hiểm.",/8265-0.jpg,/8265-0.jpg,/8265-0.jpg,"/8265-2.jpg,/8265-3.jpg"
3664,Default,simple,Default Category/Đồ điện tử,COLEMAN,Bộ pin sạc Coleman CPX6.0V - 1285193,1299000,"Bộ pin sạc Coleman CPX6.0V - 1285193 sử dụng cho các sản phẩm Coleman® CPX™ 6, dễ dàng sạc với 2 nguồn 120V và 12V, dễ dàng lắp đặt thay thế pin thông thường.",/3664-0.jpg,/3664-0.jpg,/3664-0.jpg,"/3664-1.jpg,/3664-2.jpg,/3664-3.jpg,/3664-4.jpg"
10487,Default,simple,Default Category/Đồ điện tử,,Trạm phát điện xách tay Phyeong Earth 1000W,20000000,"Trạm sạc di động Phyeong là một sản phẩm không thể thiếu trong cuộc sống hiện đại của chúng ta. Với mức tuổi thọ sử dụng cao, nó không chỉ giúp bạn tiết kiệm thời gian mà còn là một đối tác đáng tin cậy để duy trì thiết bị điện tử của bạn luôn hoạt động tốt.",/10487-0.jpg,/10487-0.jpg,/10487-0.jpg,
8262,Default,simple,Default Category/Đồ điện tử,GOAL ZERO,Pin sạc dự phòng Goal Zero Flip 30 Power Bank 21911 - 8262 Xanh lá,5640001128000,"Pin sạc dự phòng Goal Zero Flip 30 Power Bank 21911 - 8262 Xanh lá với dung lượng 7.800 mAh hỗ trợ sạc đầy pin cho máy tính bảng hay bất cứ thiết bị nào trên những chặng đường dài, hay nhưng chuyến đi mạo hiểm.",/8262-0.jpg,/8262-0.jpg,/8262-0.jpg,/8262-2.jpg
8264,Default,simple,Default Category/Đồ điện tử,GOAL ZERO,Pin sạc dự phòng Goal Zero Flip 30 Power Bank 21926 - 8264 Mận,5640001128000,"Pin sạc dự phòng Goal Zero Flip 30 Power Bank 21926 - 8264 Mận với dung lượng 7.800 mAh hỗ trợ sạc đầy pin cho máy tính bảng hay bất cứ thiết bị nào trên những chặng đường dài, hay nhưng chuyến đi mạo hiểm.",/8264-0.jpg,/8264-0.jpg,/8264-0.jpg,/8264-1.jpg
11041,Default,simple,Default Category/Đồ điện tử,FENIX,Pin sạc FENIX 18650 dung lượng 3400 mAh,450000,"Pin sạc FENIX 18650 dung lượng 3400 mAh Dung lượng cao, an toàn tuyệt đối với mạch bảo vệ đa lớp (chống đoản mạch, quá sạc/xả, quá nhiệt). Vỏ thép bền bỉ. Chính hãng Fenix, bảo hành 12 tháng. Mua ngay!",/11041-0.jpg,/11041-0.jpg,/11041-0.jpg,"/11041-1.jpg,/11041-2.jpg,/11041-3.jpg"
3278,Default,simple,Default Category/Đồ cứu sinh,RYDER,Còi Ryder Aluminium Whistle L4014 - 3278,40000,"Còi sinh tồn Ryder L4014 là phụ kiện outdoor nhỏ gọn nhưng rất quan trọng cho mỗi chuyến đi leo núi, cắm trại dã ngoại. Còi sinh tồn thường làm bằng hợp kim nhôm siêu nhẹ, tạo ra âm thanh lớn.",/3278-0.jpg,/3278-0.jpg,/3278-0.jpg,"/3278-1.jpg,/3278-2.jpg,/3278-3.jpg,/3278-4.jpg"
6728,Default,simple,Default Category/Đồ cứu sinh,RYDER,Còi cứu hộ Ryder Aluminium Emergency Whistle L4013 - 6728,59000,Còi cứu hộ Ryder Aluminium Emergency Whistle L4013 - 6728 là phụ kiện sinh tồn thiết yếu cho những chuyến đi xa tới những nơi có điều kiện địa lý phức tạp.,/6728-0.jpg,/6728-0.jpg,/6728-0.jpg,"/6728-1.jpg,/6728-2.jpg,/6728-3.jpg,/6728-4.jpg,/6728-5.jpg"
6727,Default,simple,Default Category/Đồ cứu sinh,RYDER,Còi Ryder Aluminium Whistle L0001 - 6727,19000,Còi Ryder Aluminium Whistle L0001 - 6727 là phụ kiện sinh tồn thiết yếu cho những chuyến đi xa tới những nơi có điều kiện địa lý phức tạp.,/6727-0.jpg,/6727-0.jpg,/6727-0.jpg,"/6727-1.jpg,/6727-2.jpg,/6727-3.jpg"
